brewery,beer_name,beer_style,availability,abv,master_style
Sierra Nevada Brewing Co.,Trip In the Woods: Tequila-Barrel-Aged Otra Vez,Contemporary Gose,,7.5,Other
Sierra Nevada Brewing Co.,Tropical Torpedo,American-Style India Pale Ale,,6.7,IPA
Sierra Nevada Brewing Co.,Tumbler,American-Style Brown Ale,Seasonal,5.5,Ale
Sierra Nevada Brewing Co.,Twin Peaks,American-Style Pale Ale,Year Round,5.0,Pale Ale
Sierra Nevada Brewing Co.,Two-Headed Ruthless Rye IPA,Rye Ale or Lager with or without Yeast,Limited,9.7,Other
Sierra Nevada Brewing Co.,Unfiltered Wheat Beer,American-Style Wheat Beer,,4.4,Wheat Beer
Sierra Nevada Brewing Co.,Unibrown,American-Style Brown Ale,,7.1,Ale
Sierra Nevada Brewing Co.,Vienna,Vienna-Style Lager,,5.3,Lager
Sierra Nevada Brewing Co.,Weizenbock - Beer Camp #37,South German-Style Weizenbock / Weissbock,,6.8,Other
Sierra Nevada Brewing Co.,West Latitude Session Rye,Rye Ale or Lager with or without Yeast,,5.5,Other
Sierra Nevada Brewing Co.,Wheat Of The Moment,American-Style Wheat Beer,,5.7,Wheat Beer
Sierra Nevada Brewing Co.,Why Not?,French & Belgian-Style Saison,,6.5,Saison
Sierra Nevada Brewing Co.,Wild Little Thing,American-Style Sour Ale,Year Round,5.5,Ale
Sierra Nevada Brewing Co.,Wintertide Ale,Herb and Spice Beer,,6.0,Other
Sierra Nevada Brewing Co.,Witbier with Grapefruit,Fruit Beer,,7.0,Other
Sierra Nevada Brewing Co.,Yippe Rye Aye!,American-Style Wheat Beer,,5.9,Wheat Beer
Sierra Nevada Brewing Co.,Zappa Wild Stache,American-Style India Pale Ale,,7.3,IPA
New Belgium Brewing,1554,Belgian-Style Dark Strong Ale,Year Round,6.0,Ale
New Belgium Brewing,1969 Lager,American-Style Lager,Year Round,4.7,Lager
New Belgium Brewing,Abbey,Belgian-Style Dubbel,Year Round,7.0,Other
New Belgium Brewing,Accumulation White IPA,American-Style India Pale Ale,Limited,6.2,IPA
New Belgium Brewing,Belgian Stout,American-Style Stout,,7.0,Stout
New Belgium Brewing,Citradelic Tangerine IPA,American-Style India Pale Ale,Year Round,6.0,IPA
New Belgium Brewing,Cold Brew Cream Ale,American-Style Cream Ale or Lager,Limited,5.0,Lager
New Belgium Brewing,Dayblazer,Golden or Blonde Ale,Year Round,4.8,Ale
New Belgium Brewing,Fat Tire Amber Ale,American-Style Amber/Red Ale,Year Round,5.2,Ale
New Belgium Brewing,Fat Tire Belgian White,Belgian-Style White (or Wit) / Belgian-Style Wheat,Year Round,5.2,Other
New Belgium Brewing,Felix Aged in Apple Whiskey Barrels,Wood- and Barrel-Aged Sour Beer,Limited,8.8,Other
New Belgium Brewing,Glütiny Pale Ale,American-Style Pale Ale,Year Round,6.0,Pale Ale
New Belgium Brewing,Guava Sour,Wood- and Barrel-Aged Sour Beer,Limited,6.2,Other
New Belgium Brewing,Honey Orange Tripel,Belgian-Style Tripel,Year Round,10.0,Other
New Belgium Brewing,L'Amour en Cage,Wood- and Barrel-Aged Sour Beer,Limited,7.5,Other
New Belgium Brewing,La Folie,Wood- and Barrel-Aged Sour Beer,Limited,7.0,Other
New Belgium Brewing,Le Terroir,Wood- and Barrel-Aged Sour Beer,Limited,7.5,Other
New Belgium Brewing,Mountain Time,American-Style Lager,Year Round,4.4,Lager
New Belgium Brewing,Mural Agua Fresca Cerveza,Fruit Beer,Year Round,4.0,Other
New Belgium Brewing,Nitro Cold Brew Cream Ale,American-Style Cream Ale or Lager,Limited,5.0,Lager
New Belgium Brewing,Oakspire Bourbon Barrel Ale,Strong Ale,Limited,9.0,Ale
New Belgium Brewing,Old Aggie,Vienna-Style Lager,Year Round,4.7,Lager
New Belgium Brewing,Old Tuffy,American-Style Lager,Year Round,4.7,Lager
New Belgium Brewing,Oscar Aged In Blackberry Whiskey Barrels,Wood- and Barrel-Aged Sour Beer,Limited,8.8,Other
New Belgium Brewing,Oscar Worthy Coffee,Wood- and Barrel-Aged Sour Beer,Limited,7.6,Other
New Belgium Brewing,Passion Fruit Kölsch,German-Style Kölsch / Köln-Style Kölsch,Limited,4.0,Other
New Belgium Brewing,Peach Kick,American-Style Sour Ale,Limited,4.3,Ale
New Belgium Brewing,Pilsener,Bohemian-Style Pilsener,Year Round,4.8,Other
New Belgium Brewing,Single Foeder Felix #4,Wood- and Barrel-Aged Sour Beer,Limited,7.7,Other
New Belgium Brewing,Single Foeder Felix No 61,American-Style Sour Ale,,8.5,Ale
New Belgium Brewing,Single Foeder Oscar #65,Wild Beer,,8.5,Other
New Belgium Brewing,Snow Day,American-Style Black Ale,Limited,6.2,Ale
New Belgium Brewing,Tap In Golden Ale,Golden or Blonde Ale,,4.8,Ale
New Belgium Brewing,The Hemperor HPA,American-Style India Pale Ale,Year Round,7.0,IPA
New Belgium Brewing,Transatlantique Kriek,Wood- and Barrel-Aged Sour Beer,Limited,6.2,Other
New Belgium Brewing,Trippel,Belgian-Style Tripel,Year Round,8.5,Other
New Belgium Brewing,Voodoo Ranger American Haze,Juicy or Hazy India Pale Ale,Year Round,5.0,IPA
New Belgium Brewing,Voodoo Ranger Atomic Pumpkin,Pumpkin Beer,Limited,6.4,Other
New Belgium Brewing,Voodoo Ranger Hop Avenger IPA,American-Style India Pale Ale,Limited,7.7,IPA
New Belgium Brewing,Voodoo Ranger Imperial IPA,Imperial or Double India Pale Ale,Year Round,9.0,IPA
New Belgium Brewing,Voodoo Ranger IPA,American-Style India Pale Ale,Year Round,7.0,IPA
New Belgium Brewing,Voodoo Ranger Juicifer IPA,Juicy or Hazy India Pale Ale,Limited,7.7,IPA
New Belgium Brewing,Voodoo Ranger Juicy Haze IPA,Juicy or Hazy India Pale Ale,Year Round,7.5,IPA
New Belgium Brewing,Voodoo Ranger Liquid Paradise IPA,American-Style India Pale Ale,Limited,7.8,IPA
New Belgium Brewing,Voodoo Ranger Starship IPA,American-Style India Pale Ale,Limited,7.7,IPA
New Belgium Brewing,Where I Live,Wood- and Barrel-Aged Sour Beer,Limited,6.0,Other
Ass Clown Brewing Company,A Great Day For A Beer,American-Style Pilsener,,4.3,Other
Ass Clown Brewing Company,Amber Ale,American-Style Amber/Red Ale,,6.2,Ale
Ass Clown Brewing Company,Apricot Seed Pale Ale,American-Style Pale Ale,Year Round,,Pale Ale
Ass Clown Brewing Company,Bartender's Choice,Imperial or Double India Pale Ale,,6.5,IPA
Ass Clown Brewing Company,Betwixt 2 Berries,American-Style Sour Ale,,6.5,Ale
Ass Clown Brewing Company,Black Black Gose,Contemporary Gose,,3.8,Other
Ass Clown Brewing Company,Brewer's IPA,Session India Pale Ale,,5.0,IPA
Ass Clown Brewing Company,Chocolate Pumpkin Brown Ale,Herb and Spice Beer,Seasonal,,Other
Ass Clown Brewing Company,Clown Around,American-Style Sour Ale,,6.8,Ale
Ass Clown Brewing Company,Coffee Cascara Brown,American-Style Brown Ale,,6.5,Ale
Ass Clown Brewing Company,Coffee Tequila Oatmeal Stout,Oatmeal Stout,Seasonal,,Stout
Ass Clown Brewing Company,Cul Du Bouffon,French & Belgian-Style Saison,,5.3,Saison
Ass Clown Brewing Company,Dark Chocolate Blueberry Porter,Robust Porter,Year Round,,Porter
Ass Clown Brewing Company,Dark Chocolate Cherry Porter,Brown Porter,Limited,,Porter
Ass Clown Brewing Company,Dark Chocolate Sea Salt Stout,American-Style Stout,Year Round,7.1,Stout
Ass Clown Brewing Company,Directionally Challenged,American-Style India Pale Ale,Limited,5.5,IPA
Ass Clown Brewing Company,Double Cheek IPA,Imperial or Double India Pale Ale,,8.27,IPA
Ass Clown Brewing Company,Evolved,American-Style Sour Ale,,6.5,Ale
Ass Clown Brewing Company,Experimental Clown,American-Style India Pale Ale,,6.0,IPA
Ass Clown Brewing Company,Fermenter #1,American-Style India Pale Ale,,6.8,IPA
Ass Clown Brewing Company,Figgatude,American-Style Pale Ale,,5.8,Pale Ale
Ass Clown Brewing Company,Fresh Hop Simcoe IPA,American-Style India Pale Ale,Seasonal,,IPA
Ass Clown Brewing Company,Ghost Chili Pepper IPA,American-Style Pale Ale,,6.7,Pale Ale
Ass Clown Brewing Company,Gingerbread Brown Ale,American-Style Brown Ale,,6.6,Ale
Ass Clown Brewing Company,Hazelnut Nut Brown Ale,American-Style Brown Ale,Seasonal,,Ale
Ass Clown Brewing Company,Honey Kolsch,German-Style Kölsch / Köln-Style Kölsch,,,Other
Ass Clown Brewing Company,Hop Pollen,American-Style India Pale Ale,Seasonal,6.0,IPA
Ass Clown Brewing Company,Imperial Dark Chocolate Black Truffle Sea Salt Stout,American-Style Imperial Stout,,11.5,Stout
Ass Clown Brewing Company,Imperial IPA,Imperial or Double India Pale Ale,Seasonal,8.0,IPA
Ass Clown Brewing Company,India Brown Ale,Specialty Beer,Limited,,Other
Ass Clown Brewing Company,IPA,American-Style India Pale Ale,,6.7,IPA
Ass Clown Brewing Company,Jasmine Tea IPA,American-Style India Pale Ale,,6.8,IPA
Ass Clown Brewing Company,Lemon Blonde,Golden or Blonde Ale,,,Ale
Ass Clown Brewing Company,Lemon Wheat IPA,American-Style India Pale Ale,Limited,,IPA
Ass Clown Brewing Company,Little Ass Sour,Wild Beer,Seasonal,4.8,Other
Ass Clown Brewing Company,Mosiac Wet Hop IPA,American-Style India Pale Ale,Summer,6.9,IPA
Ass Clown Brewing Company,Orange Citrus IPA,American-Style India Pale Ale,Year Round,6.7,IPA
Ass Clown Brewing Company,PARTLY CLOUDY WITH A CHANCE OF FUN,American-Style India Pale Ale,,6.5,IPA
Ass Clown Brewing Company,Peach Fig Pale Ale,American-Style Pale Ale,Year Round,,Pale Ale
Ass Clown Brewing Company,Plum Sour,American-Style Sour Ale,,5.5,Ale
Ass Clown Brewing Company,Poplar Brown Ale,American-Style Brown Ale,Year Round,,Ale
Ass Clown Brewing Company,Pumpkin IPA,American-Style India Pale Ale,Seasonal,6.7,IPA
Ass Clown Brewing Company,Raspberry Mint IPA,American-Style Black Ale,Limited,6.8,Ale
Ass Clown Brewing Company,Rose Hip Hibiscus Blonde,Golden or Blonde Ale,,5.5,Ale
Ass Clown Brewing Company,Scared of Clowns,American-Style Sour Ale,,,Ale
Ass Clown Brewing Company,She Said Her Name Was Cherri,American-Style Sour Ale,,7.0,Ale
Ass Clown Brewing Company,Smoked Maple Syrup Black Ale,Specialty Beer,Limited,,Other
Ass Clown Brewing Company,Smoked Scotch Ale,Smoke Beer (Lager or Ale),Seasonal,,Other
Ass Clown Brewing Company,Starfruit Tart,American-Style Sour Ale,Year Round,6.0,Ale
Ass Clown Brewing Company,Tie Up Pale Ale,American-Style Pale Ale,,5.8,Pale Ale
Ass Clown Brewing Company,Trending IPA,American-Style India Pale Ale,,6.7,IPA
Ass Clown Brewing Company,Unstable Clown,American-Style India Pale Ale,,6.7,IPA
Ass Clown Brewing Company,Vanilla Bean Chocolate Brown Ale,American-Style Brown Ale,Limited,,Ale
Ass Clown Brewing Company,Word,American-Style India Pale Ale,,6.8,IPA
Barrel Culture,Game Over (Passionfruit & Guava),Wood- and Barrel-Aged Sour Beer,,5.0,Other
Billy Beer Inc,Billy Beer,American-Style Light (Low Calorie) Lager,Year Round,3.2,Lager
Billy Beer Inc,Billy's Wild Weekend,American-Style Lager,Year Round,4.43,Lager
Billy Beer Inc,The Wonderworker,Belgian-Style Tripel,,8.1,Other
Catawba Brewing Co.,Astral Bootie,Session India Pale Ale,,4.5,IPA
Catawba Brewing Co.,Barley's Best Bitter,Special Bitter or Best Bitter,,4.75,Other
Catawba Brewing Co.,Barrel Aged Hooligan Scotch Ale,Scottish-Style Heavy Ale,,8.5,Ale
Catawba Brewing Co.,Black Dome,American-Style Stout,Year Round,6.0,Stout
Catawba Brewing Co.,Brown Bear,American-Style Brown Ale,Year Round,5.2,Ale
Catawba Brewing Co.,CLT IPA,American-Style India Pale Ale,,7.2,IPA
Catawba Brewing Co.,Deep State Baltic Porter,Baltic-Style Porter,Limited,7.2,Porter
Catawba Brewing Co.,Emperor Charlemagne,Wood- and Barrel-Aged Sour Beer,Limited,9.6,Other
Catawba Brewing Co.,Endless Trail Helles,Münchner (Munich)-Style Helles,,5.0,Other
Catawba Brewing Co.,Farmer Brett,Brett Beer,,0.0,Other
Catawba Brewing Co.,Farmer Ted's,American-Style Cream Ale or Lager,Year Round,6.0,Lager
Catawba Brewing Co.,Festbier Lager,German-Style Märzen,,5.3,Other
Catawba Brewing Co.,Firewater,American-Style India Pale Ale,Year Round,6.0,IPA
Catawba Brewing Co.,Friki Tiki - Blood Orange,American-Style India Pale Ale,,6.5,IPA
Catawba Brewing Co.,Friki Tiki - Guava,American-Style India Pale Ale,,6.5,IPA
Catawba Brewing Co.,Honest Injun Stout,American-Style Stout,Year Round,,Stout
Catawba Brewing Co.,Hooligan Scotch Ale,Scotch Ale,,8.0,Ale
Catawba Brewing Co.,Hop Series #1 - The Nose,American-Style India Pale Ale,,4.75,IPA
Catawba Brewing Co.,Hopness Monster IPA,American-Style India Pale Ale,,6.5,IPA
Catawba Brewing Co.,Hyper Monkey Stout,American-Style Stout,Seasonal,6.0,Stout
Catawba Brewing Co.,Indian Head Red Ale,American-Style Amber/Red Ale,Limited,,Ale
Catawba Brewing Co.,King Coconut Porter,Robust Porter,Spring,5.2,Porter
Catawba Brewing Co.,King Don's Pumpkin Ale,Pumpkin Beer,Fall,5.5,Other
Catawba Brewing Co.,King Winterbolt,Herb and Spice Beer,Seasonal,7.0,Other
Catawba Brewing Co.,LD's Belgian Tripel,Belgian-Style Tripel,,10.0,Other
Catawba Brewing Co.,Le Sexxxy,French & Belgian-Style Saison,,7.6,Saison
Catawba Brewing Co.,Mother Trucker,American-Style Pale Ale,Year Round,5.0,Pale Ale
Catawba Brewing Co.,Oh Pale Yeah!,Session Beer,,4.5,Other
Catawba Brewing Co.,Peanut Butter Jelly Time,Specialty Beer,,5.75,Other
Catawba Brewing Co.,Quiet Rye-Ot,Brown Porter,,5.2,Porter
Catawba Brewing Co.,RED-iculous,American-Style India Pale Ale,,6.0,IPA
Catawba Brewing Co.,Red-iculous Red IPA,American-Style India Pale Ale,Year Round,6.0,IPA
Catawba Brewing Co.,Revenuers Red Ale,American-Style Amber/Red Ale,Year Round,5.2,Ale
Catawba Brewing Co.,Riverkeeper Apple Sour,American-Style Sour Ale,,5.4,Ale
Catawba Brewing Co.,Small Batch Pineapple IPA,American-Style India Pale Ale,,6.5,IPA
Catawba Brewing Co.,Ted Light Lime,American-Style Light (Low Calorie) Lager,,4.5,Lager
Catawba Brewing Co.,White Zombie,Belgian-Style White (or Wit) / Belgian-Style Wheat,Year Round,5.1,Other
Catawba Brewing Co.,Wolfeman Kolsch,German-Style Kölsch / Köln-Style Kölsch,,0.0,Other
Blowing Rock Brewing,American Wheat Ale,American-Style Wheat Beer,,5.3,Wheat Beer
Blowing Rock Brewing,Barley Wine,American-Style Barley Wine Ale,,11.0,Ale
Blowing Rock Brewing,Belgian Dark Strong Ale,Belgian-Style Dark Strong Ale,,9.5,Ale
Blowing Rock Brewing,Belgian Pale Ale,Belgian-Style Pale Ale,,5.2,Pale Ale
Blowing Rock Brewing,Big Chocolate Porter,Chocolate / Cocoa-Flavored Beer,,6.9,Other
Blowing Rock Brewing,Blowing Rock Bock,Traditional German-Style Bock,Spring,,Other
Blowing Rock Brewing,Double IPA,Imperial or Double India Pale Ale,,7.8,IPA
Blowing Rock Brewing,Extra Special Bitter,Extra Special Bitter,,6.3,Other
Blowing Rock Brewing,Farmhouse Peach Ale,Fruit Beer,Seasonal,5.9,Other
Blowing Rock Brewing,Grandfather's Breakfast Stout,American-Style Imperial Stout,,8.8,Stout
Blowing Rock Brewing,High Country Pale Ale,American-Style Pale Ale,Year Round,5.4,Pale Ale
Blowing Rock Brewing,Midnight Raspberry Wheat,Fruit Wheat Ale or Lager with or without Yeast,,5.9,Other
Blowing Rock Brewing,Mountain Shadow Black IPA,American-Style Black Ale,Seasonal,6.8,Ale
Blowing Rock Brewing,Oktoberfest,German-Style Märzen,Seasonal,5.7,Other
Blowing Rock Brewing,Pilsner,International-Style Pilsener,,5.0,Other
Blowing Rock Brewing,Roasted Pumpkin Ale,Pumpkin Beer,Seasonal,6.0,Other
Blowing Rock Brewing,Schwarz Bier,German-Style Schwarzbier,,5.3,Other
Blowing Rock Brewing,Scotch Ale,Scotch Ale,,7.8,Ale
Blowing Rock Brewing,Stonefruit Saison,French & Belgian-Style Saison,Seasonal,4.9,Saison
Blowing Rock Brewing,Summer Ale,Belgian-Style White (or Wit) / Belgian-Style Wheat,Summer,5.0,Other
Oskar Blues Brewery,CANfusion - Beer Camp Across America,Rye Ale or Lager with or without Yeast,Limited,7.2,Other
Oskar Blues Brewery,All Colorado Apricot Wheat,Fruit Wheat Ale or Lager with or without Yeast,,5.5,Other
Oskar Blues Brewery,All Colorado Wet Hop Pale Ale,American-Style Pale Ale,,5.8,Pale Ale
Oskar Blues Brewery,ALTitude,German-Style Altbier,Limited,,Other
Oskar Blues Brewery,American Summer Hoppy Wit,Belgian-Style White (or Wit) / Belgian-Style Wheat,,6.0,Other
Oskar Blues Brewery,Añejo Tequila Barrel Aged Gubna,Imperial Red Ale,,11.0,Ale
Oskar Blues Brewery,Barrel Aged Chaka (Merlot),Belgian-Style Blonde Ale,,8.0,Ale
Oskar Blues Brewery,Barrel Aged Dale's Pale Ale (Makers Mark),American-Style Pale Ale,,6.5,Pale Ale
Oskar Blues Brewery,Barrel Aged Mama's Mama's Little Yella Pils (Tequila),American-Style Pilsener,,5.3,Other
Oskar Blues Brewery,Barrel Aged Ten Fidy,American-Style Imperial Stout,Limited,12.9,Stout
Oskar Blues Brewery,Barrel-Aged Ten Fidy,American-Style Imperial Stout,,12.9,Stout
Oskar Blues Brewery,Bayside Black IPA,American-Style India Pale Ale,,7.1,IPA
Oskar Blues Brewery,Beerito,Vienna-Style Lager,,4.0,Lager
Oskar Blues Brewery,Black Brew Bae,American-Style Black Ale,,6.4,Ale
Oskar Blues Brewery,Black Mamba,South German-Style Weizenbock / Weissbock,,6.0,Other
Oskar Blues Brewery,Blackstrap Fever,Brown Porter,Limited,6.1,Porter
Oskar Blues Brewery,Blue Dream,American-Style India Pale Ale,,6.4,IPA
Oskar Blues Brewery,Bolivia Newton John,Coffee-Flavored Beer,,,Other
Oskar Blues Brewery,Brandy Barrel-Aged Ten Fidy,American-Style Imperial Stout,,10.5,Stout
Oskar Blues Brewery,Brass & Blues,French & Belgian-Style Saison,,6.4,Saison
Oskar Blues Brewery,Bulleit Bourbon Ten Fidy,Foreign (Export)-Style Stout,Limited,11.0,Stout
Oskar Blues Brewery,Can-O-Bliss Double IPA,Imperial or Double India Pale Ale,Year Round,8.2,IPA
Oskar Blues Brewery,Can-O-Bliss Hazy,American-Style India Pale Ale,,7.2,IPA
Oskar Blues Brewery,Can-O-Bliss Tropical IPA,American-Style India Pale Ale,,7.2,IPA
Oskar Blues Brewery,Can-O-Bliss: Citrus IPA,American-Style India Pale Ale,,7.2,IPA
Oskar Blues Brewery,Centennial Saison,French & Belgian-Style Saison,,6.0,Saison
Oskar Blues Brewery,Chaka,Belgian-Style Pale Ale,Seasonal,8.0,Pale Ale
Oskar Blues Brewery,Chardonnay Barrel G'Knight,Imperial Red Ale,,8.7,Ale
Oskar Blues Brewery,Christmas Chub,Herb and Spice Beer,Seasonal,8.0,Other
Oskar Blues Brewery,Cornlaboration,American-Style Lager,Limited,5.8,Lager
Oskar Blues Brewery,Crye Me A River,Rye Ale or Lager with or without Yeast,,5.6,Other
Oskar Blues Brewery,Dale's Pale Ale,American-Style Pale Ale,Year Round,6.5,Pale Ale
Oskar Blues Brewery,Dale's Pale Ale Nitro,American-Style Pale Ale,Limited,6.5,Pale Ale
Oskar Blues Brewery,Dales Dry Hop Equinox,American-Style Pale Ale,,6.5,Pale Ale
Oskar Blues Brewery,Dales T45 Dry Hop,American-Style Pale Ale,,6.5,Pale Ale
Oskar Blues Brewery,Dales T90 Dry Hop,American-Style Pale Ale,,6.5,Pale Ale
Oskar Blues Brewery,Death By Coconut,Brown Porter,,6.5,Porter
Oskar Blues Brewery,Death By Coconut (Rum Barrel Aged),American-Style Imperial Porter,,11.5,Porter
Oskar Blues Brewery,Death By King Cake,Robust Porter,,6.5,Porter
Oskar Blues Brewery,Deuce,American-Style Brown Ale,,7.0,Ale
Oskar Blues Brewery,Deviant Dale’s,American-Style India Pale Ale,Year Round,8.0,IPA
Oskar Blues Brewery,Doppelbock,German-Style Doppelbock,Limited,,Other
Oskar Blues Brewery,Fat Slim,American-Style India Pale Ale,,5.0,IPA
Oskar Blues Brewery,Four Hopsmen - Comet Dry Hopped,American-Style Pale Ale,,5.2,Pale Ale
Oskar Blues Brewery,Four Hopsmen - HBC 472,American-Style Pale Ale,,5.2,Pale Ale
Oskar Blues Brewery,Four Hopsmen - Hop Head Farms Eperimental Dry Hopped,American-Style Pale Ale,,5.2,Pale Ale
Oskar Blues Brewery,Four Hopsmen - Mandarina Bavaria Dry Hopped,American-Style Pale Ale,,5.2,Pale Ale
Oskar Blues Brewery,Freedom Tickler,French & Belgian-Style Saison,,6.8,Saison
Oskar Blues Brewery,Fresh Hops of Bel-Air,American-Style Amber/Red Ale,,5.5,Ale
Oskar Blues Brewery,Fugli,American-Style India Pale Ale,Seasonal,5.8,IPA
Oskar Blues Brewery,Fumble Brewski,American-Style Amber Lager,,4.5,Lager
Oskar Blues Brewery,G'Afternoon,American-Style India Pale Ale,,6.0,IPA
Oskar Blues Brewery,G'Knight,Imperial or Double India Pale Ale,Year Round,8.7,IPA
Oskar Blues Brewery,G'Knight (Breckenridge Whiskey Barrel Aged),Imperial Red Ale,Limited,8.7,Ale
Oskar Blues Brewery,G'Knight Imperial Red IPA,Other Strong Ale or Lager,,8.7,Lager
Oskar Blues Brewery,Gingerbread Old Chub,Scottish-Style Heavy Ale,,8.0,Ale
Oskar Blues Brewery,Good Game,Belgian-Style Quadrupel,,11.0,Other
Oskar Blues Brewery,Goofer Dust,American-Style Pale Ale,Limited,6.1,Pale Ale
Oskar Blues Brewery,Gubna,Imperial or Double India Pale Ale,Year Round,10.0,IPA
Oskar Blues Brewery,Gubna Barrel Aged,Imperial or Double India Pale Ale,,11.0,IPA
Oskar Blues Brewery,Gubna Imperial IPA,Imperial or Double India Pale Ale,,10.0,IPA
Oskar Blues Brewery,Guns ‘n’ Rosé,Fruit Beer,,6.0,Other
Oskar Blues Brewery,Home Skillet,American-Style Black Ale,,5.6,Ale
Oskar Blues Brewery,Hoppy Floppy,American-Style India Pale Ale,,7.5,IPA
Oskar Blues Brewery,Hoppy Saison Mancrush,French & Belgian-Style Saison,,,Saison
Oskar Blues Brewery,Hoppy Seconds,American-Belgo-Style Ale,Limited,8.4,Ale
Oskar Blues Brewery,Hot Buttered Rum Ten FIDY Double Barrel-Aged Imperial Stout,American-Style Imperial Stout,,13.0,Stout
Oskar Blues Brewery,Hotbox Coffee IPA,American-Style India Pale Ale,,7.2,IPA
Oskar Blues Brewery,Hotbox Coffee Porter,Brown Porter,,6.5,Porter
Oskar Blues Brewery,IceyPA,American-Style India Pale Ale,,7.0,IPA
Oskar Blues Brewery,Interstate SMASH Express - Calypso,American-Style India Pale Ale,,7.1,IPA
Oskar Blues Brewery,Interstate SMaSH Express - Enigma,American-Style India Pale Ale,,6.0,IPA
Oskar Blues Brewery,JAHvanilla Barrel Aged Ten FIDY,American-Style Imperial Stout,,12.9,Stout
Oskar Blues Brewery,Javanilla Ten FIDY,American-Style Imperial Stout,,10.5,Stout
Oskar Blues Brewery,Jenny Scream Ale,American-Style Cream Ale or Lager,,5.3,Lager
Oskar Blues Brewery,Juicy Dust,American-Style India Pale Ale,,6.2,IPA
Oskar Blues Brewery,Juicy Wolf,Session India Pale Ale,,4.8,IPA
Oskar Blues Brewery,Lupu Lava Tropical IPA,American-Style India Pale Ale,,6.8,IPA
Oskar Blues Brewery,Mama's Little Yella Pils,German-Style Pilsener,Year Round,4.7,Other
